PROJECT MANAGEMENT QUICK CHECKLIST,,,,,,,
Use this sheet to track completion of each project management step during your project.,,,,,,,
,,,,,,,
Step #,Phase,Step Name,What to Do,Initiated,Last Updated,Status,Completed
1.1,INITIATE,Identify the Project,"Recognize a business need, problem, or opportunity that requires a project. Confirm it is not just an ongoing operationa...",,,Not Started,
1.2,INITIATE,Define the Project Purpose,Write a clear project purpose statement that explains WHY the project exists and WHAT success looks like in simple terms...,,,Not Started,
1.3,INITIATE,Identify the Sponsor,"Formally assign an executive sponsor who owns the project, removes obstacles, and champions the work.",,,Not Started,
1.4,INITIATE,Clarify Scope & Boundaries,Define what is IN scope and explicitly what is OUT of scope to prevent scope creep.,,,Not Started,
1.5,INITIATE,Identify Stakeholders,List everyone who is affected by or can affect the project. Understand their level of interest and influence.,,,Not Started,
1.6,INITIATE,Define Success Criteria,Establish measurable criteria that will determine whether the project has been completed successfully.,,,Not Started,
1.7,INITIATE,Create Project Charter,"Summarize the project purpose, scope, sponsor, high-level timeline, and resources in a single reference document. Get fo...",,,Not Started,
2.1,PLAN,Build the Work Breakdown Structure (WBS),"Decompose the total project scope into smaller, manageable deliverables and work packages.",,,Not Started,
2.2,PLAN,Define Tasks & Sequences,List all specific tasks needed to complete each deliverable and identify dependencies between tasks.,,,Not Started,
2.3,PLAN,Estimate Effort & Duration,Estimate how much effort (person-hours) and elapsed time (days/weeks) each task will require.,,,Not Started,
2.4,PLAN,Assign Roles (RACI),"Assign Responsible, Accountable, Consulted, and Informed roles for every key task and decision.",,,Not Started,
2.5,PLAN,Develop the Schedule,"Combine tasks, sequences, and estimates into a timeline. Identify the critical path.",,,Not Started,
2.6,PLAN,Plan Resources & Budget,"Identify people, materials, tools, and costs needed. Create a budget aligned to the schedule.",,,Not Started,
2.7,PLAN,Identify Risks,Brainstorm potential risks that could derail the project. Prioritize by likelihood and impact.,,,Not Started,
2.8,PLAN,Plan Risk Responses,"For each high-priority risk, define a mitigation strategy (avoid, mitigate, transfer, accept).",,,Not Started,
2.9,PLAN,Define Communication Plan,"Identify who needs what information, in what format, and how often. Set up reporting cadence.",,,Not Started,
2.10,PLAN,Get Plan Approved,Present the full project plan to the sponsor and key stakeholders for formal approval before work begins.,,,Not Started,
3.1,EXECUTE,Hold Project Kickoff Meeting,"Bring the full team together to align on the plan, roles, expectations, and ways of working.",,,Not Started,
3.2,EXECUTE,Manage Team Performance,"Apply FranklinCovey's 4 Disciplines of Execution: set WIGs, keep scoreboard, hold team accountable.",,,Not Started,
3.3,EXECUTE,Execute Work Packages,"Team members carry out assigned tasks according to the plan, producing the agreed deliverables.",,,Not Started,
3.4,EXECUTE,Conduct Quality Assurance,"Confirm that work meets quality standards through reviews, testing, and inspections as work progresses.",,,Not Started,
3.5,EXECUTE,Manage Stakeholder Engagement,Keep stakeholders informed and engaged. Address concerns early to maintain support and minimize surprises.,,,Not Started,
3.6,EXECUTE,Manage Procurement,"If vendors or contractors are needed, manage selection, contracting, and performance.",,,Not Started,
4.1,MONITOR,Track Progress vs. Plan,"Regularly compare actual progress (% complete, tasks done) against the baseline schedule.",,,Not Started,
4.2,MONITOR,Monitor Budget vs. Actuals,Track spending against the approved budget. Identify variances early and determine corrective actions.,,,Not Started,
4.3,MONITOR,Conduct Status Meetings,"Hold regular team and stakeholder status meetings to surface issues, decisions, and blockers.",,,Not Started,
4.4,MONITOR,Manage Issues & Escalations,"Log, assign, and resolve issues. Escalate to sponsor when decisions exceed PM authority.",,,Not Started,
4.5,MONITOR,Monitor & Update Risk Register,"Revisit the risk register regularly. Close resolved risks, add new risks, update probabilities.",,,Not Started,
4.6,MONITOR,Manage Change Requests,"Evaluate all requested changes to scope, schedule, or cost. Approve or reject through a formal process.",,,Not Started,
4.7,MONITOR,Adjust Plan as Needed,"When approved changes or variances require it, update the schedule, budget, or resource plan formally.",,,Not Started,
5.1,CLOSE,Verify Deliverable Completion,"Confirm that all project deliverables have been produced, meet acceptance criteria, and are complete.",,,Not Started,
5.2,CLOSE,Obtain Formal Acceptance,Get written sign-off from the sponsor and/or customer that the project is complete and acceptable.,,,Not Started,
5.3,CLOSE,Transition to Operations,Hand off the deliverable to the people who will own and operate it going forward. Provide training if needed.,,,Not Started,
5.4,CLOSE,Conduct Lessons Learned Session,"Facilitate a retrospective with the team to capture what went well, what didn't, and what to do differently.",,,Not Started,
5.5,CLOSE,Archive Project Documentation,Organize and store all project documents in a central location for future reference and organizational learning.,,,Not Started,
5.6,CLOSE,Release Team & Resources,"Formally release team members from project duties, update their managers, and return equipment/licenses.",,,Not Started,
5.7,CLOSE,Write Final Project Report,"Summarize project performance: scope achieved, budget vs. actuals, schedule vs. baseline, lessons learned.",,,Not Started,
5.8,CLOSE,Celebrate & Recognize the Team,Acknowledge the team's effort and contribution. Celebrate wins to build morale and culture.,,,Not Started,
